gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4022992331,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_914343,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-27.5,153.5,111319.49,1,NA,NA,NA,NA,2022-02-16T08:03:33Z,16,2,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_914343,2178_914343,NA,2022-02-16T08:03:33Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
4022992330,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_832517,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-20.5,150.5,111319.49,1,NA,NA,NA,NA,2022-01-17T17:06:32Z,17,1,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_832517,2178_832517,NA,2022-01-17T17:06:32Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992329,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_913699,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,2,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-25.5,153.5,111319.49,1,NA,NA,NA,NA,2022-01-02T21:49:55Z,2,1,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_913699,2178_913699,NA,2022-01-02T21:49:55Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992328,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_913675,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,2,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-24.5,152.5,111319.49,1,NA,NA,NA,NA,2021-12-21T17:57:22Z,21,12,2021,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_913675,2178_913675,NA,2021-12-21T17:57:22Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992327,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_832558,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-18.5,147.5,111319.49,1,NA,NA,NA,NA,2022-01-27T17:00:04Z,27,1,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_832558,2178_832558,NA,2022-01-27T17:00:04Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992326,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_913679,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-25.5,152.5,111319.49,1,NA,NA,NA,NA,2022-01-31T23:52:51Z,31,1,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_913679,2178_913679,NA,2022-01-31T23:52:51Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
4022992325,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_832617,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-14.5,145.5,111319.49,1,NA,NA,NA,NA,2022-02-12T10:34:12Z,12,2,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_832617,2178_832617,NA,2022-02-12T10:34:12Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992324,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_913708,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-26.5,153.5,111319.49,1,NA,NA,NA,NA,2022-02-12T08:59:01Z,12,2,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_913708,2178_913708,NA,2022-02-12T08:59:01Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992323,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_832540,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-19.5,148.5,111319.49,1,NA,NA,NA,NA,2022-01-23T07:02:18Z,23,1,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_832540,2178_832540,NA,2022-01-23T07:02:18Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
4022992322,e10789ed-b8cb-4c6a-9b29-aa777abe3d07,2178_832666,Animalia,Chordata,Testudines,NA,Cheloniidae,Caretta,Caretta caretta,NA,SPECIES,"Caretta caretta (Linnaeus, 1758)",Caretta caretta,"(Linnaeus, 1758)",AU,NA,NA,PRESENT,1,67b2263f-6990-4d9d-b32b-20aa72ef4fbc,-14.5,144.5,111319.49,1,NA,NA,NA,NA,2022-02-15T09:59:29Z,15,2,2022,8894817,8894817,MACHINE_OBSERVATION,aub.strydom@uqconnect.edu.au,2178,2178_832666,2178_832666,NA,2022-02-15T09:59:29Z,CC_BY_NC_4_0,NA,NA,NA,NA,2023-02-01T17:27:51Z,NA,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
